series_key;time_period;time_period_start;time_period_end;obs_value;updated_at;dataset_id;title_fr;title_long_fr;freq;adjustment;ref_area;counterpart_area;ref_sector;counterpart_sector;flow_stock_entry;accounting_entry;int_acc_item;functional_cat;instr_asset;maturity;unit_measure;currency_denom;valuation;comp_method;type_entity;unit;decimals;unit_mult;time_format;source_agency;time_per_collect;obs_status;obs_conf
BPM6.Q.N.FR.J9.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL;2024-Q3;2024-07-01;2024-09-30;11860,0;2025-03-21T05:12:25+00:00;BPM6;Transactions courantes - Ensemble de l'économie - Solde  - France vis-à-vis hors Zone Euro - Brut;Transactions courantes - Ensemble de l'économie - Solde - Flux - France vis-à-vis hors Zone Euro - Trimestriel - Brut;Q;N;FR;J9;S1;S1;T;B;CA;_Z;_Z;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;E;A;F
BPM6.Q.N.FR.J9.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL;2024-Q4;2024-10-01;2024-12-31;16652,0;2025-03-21T05:12:25+00:00;BPM6;Transactions courantes - Ensemble de l'économie - Solde  - France vis-à-vis hors Zone Euro - Brut;Transactions courantes - Ensemble de l'économie - Solde - Flux - France vis-à-vis hors Zone Euro - Trimestriel - Brut;Q;N;FR;J9;S1;S1;T;B;CA;_Z;_Z;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;E;A;F
BPM6.Q.N.FR.J9.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL;2024-Q2;2024-04-01;2024-06-30;13892,0;2024-12-17T17:11:01+00:00;BPM6;Transactions courantes - Ensemble de l'économie - Solde  - France vis-à-vis hors Zone Euro - Brut;Transactions courantes - Ensemble de l'économie - Solde - Flux - France vis-à-vis hors Zone Euro - Trimestriel - Brut;Q;N;FR;J9;S1;S1;T;B;CA;_Z;_Z;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;E;A;F
BPM6.Q.N.FR.J9.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL;2023-Q4;2023-10-01;2023-12-31;25318,0;2024-12-02T09:40:32+00:00;BPM6;Transactions courantes - Ensemble de l'économie - Solde  - France vis-à-vis hors Zone Euro - Brut;Transactions courantes - Ensemble de l'économie - Solde - Flux - France vis-à-vis hors Zone Euro - Trimestriel - Brut;Q;N;FR;J9;S1;S1;T;B;CA;_Z;_Z;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;E;A;F
BPM6.Q.N.FR.J9.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL;2023-Q2;2023-04-01;2023-06-30;30097,0;2024-12-02T09:40:32+00:00;BPM6;Transactions courantes - Ensemble de l'économie - Solde  - France vis-à-vis hors Zone Euro - Brut;Transactions courantes - Ensemble de l'économie - Solde - Flux - France vis-à-vis hors Zone Euro - Trimestriel - Brut;Q;N;FR;J9;S1;S1;T;B;CA;_Z;_Z;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;E;A;F
BPM6.Q.N.FR.J9.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL;2023-Q1;2023-01-01;2023-03-31;9760,0;2024-12-02T09:40:32+00:00;BPM6;Transactions courantes - Ensemble de l'économie - Solde  - France vis-à-vis hors Zone Euro - Brut;Transactions courantes - Ensemble de l'économie - Solde - Flux - France vis-à-vis hors Zone Euro - Trimestriel - Brut;Q;N;FR;J9;S1;S1;T;B;CA;_Z;_Z;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;E;A;F
BPM6.Q.N.FR.J9.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL;2022-Q4;2022-10-01;2022-12-31;28854,0;2024-12-02T09:40:32+00:00;BPM6;Transactions courantes - Ensemble de l'économie - Solde  - France vis-à-vis hors Zone Euro - Brut;Transactions courantes - Ensemble de l'économie - Solde - Flux - France vis-à-vis hors Zone Euro - Trimestriel - Brut;Q;N;FR;J9;S1;S1;T;B;CA;_Z;_Z;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;E;A;F
BPM6.Q.N.FR.J9.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL;2022-Q3;2022-07-01;2022-09-30;5400,0;2024-12-02T09:40:32+00:00;BPM6;Transactions courantes - Ensemble de l'économie - Solde  - France vis-à-vis hors Zone Euro - Brut;Transactions courantes - Ensemble de l'économie - Solde - Flux - France vis-à-vis hors Zone Euro - Trimestriel - Brut;Q;N;FR;J9;S1;S1;T;B;CA;_Z;_Z;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;E;A;F
BPM6.Q.N.FR.J9.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL;2022-Q2;2022-04-01;2022-06-30;25153,0;2024-12-02T09:40:32+00:00;BPM6;Transactions courantes - Ensemble de l'économie - Solde  - France vis-à-vis hors Zone Euro - Brut;Transactions courantes - Ensemble de l'économie - Solde - Flux - France vis-à-vis hors Zone Euro - Trimestriel - Brut;Q;N;FR;J9;S1;S1;T;B;CA;_Z;_Z;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;E;A;F
BPM6.Q.N.FR.J9.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL;2022-Q1;2022-01-01;2022-03-31;16212,0;2024-12-02T09:40:32+00:00;BPM6;Transactions courantes - Ensemble de l'économie - Solde  - France vis-à-vis hors Zone Euro - Brut;Transactions courantes - Ensemble de l'économie - Solde - Flux - France vis-à-vis hors Zone Euro - Trimestriel - Brut;Q;N;FR;J9;S1;S1;T;B;CA;_Z;_Z;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;E;A;F
