series_key;time_period;time_period_start;time_period_end;obs_value;updated_at;dataset_id;title_fr;title_long_fr;freq;adjustment;ref_area;counterpart_area;ref_sector;counterpart_sector;flow_stock_entry;accounting_entry;int_acc_item;functional_cat;instr_asset;maturity;unit_measure;currency_denom;valuation;comp_method;type_entity;unit;decimals;unit_mult;time_format;source_agency;time_per_collect;obs_status;obs_conf
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL;2024-Q3;2024-07-01;2024-09-30;-82112,0;2025-03-21T05:12:22+00:00;BPM6;Compte financier - Autres investissements - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Autres investissements - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;O;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL;2024-Q4;2024-10-01;2024-12-31;159359,0;2025-03-21T05:12:22+00:00;BPM6;Compte financier - Autres investissements - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Autres investissements - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;O;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL;2024-Q2;2024-04-01;2024-06-30;-15680,0;2024-12-17T17:10:58+00:00;BPM6;Compte financier - Autres investissements - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Autres investissements - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;O;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL;2024-Q1;2024-01-01;2024-03-31;-171957,0;2024-12-02T09:40:32+00:00;BPM6;Compte financier - Autres investissements - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Autres investissements - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;O;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL;2019-Q4;2019-10-01;2019-12-31;111401,0;2024-12-02T09:40:32+00:00;BPM6;Compte financier - Autres investissements - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Autres investissements - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;O;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL;2019-Q3;2019-07-01;2019-09-30;-31524,0;2024-12-02T09:40:32+00:00;BPM6;Compte financier - Autres investissements - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Autres investissements - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;O;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL;2019-Q1;2019-01-01;2019-03-31;-96210,0;2024-12-02T09:40:32+00:00;BPM6;Compte financier - Autres investissements - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Autres investissements - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;O;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL;2019-Q2;2019-04-01;2019-06-30;-23431,0;2024-12-02T09:40:32+00:00;BPM6;Compte financier - Autres investissements - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Autres investissements - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;O;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL;2018-Q4;2018-10-01;2018-12-31;35516,0;2024-12-02T09:40:32+00:00;BPM6;Compte financier - Autres investissements - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Autres investissements - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;O;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL;2018-Q3;2018-07-01;2018-09-30;2994,0;2024-12-02T09:40:32+00:00;BPM6;Compte financier - Autres investissements - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Autres investissements - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;O;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
