series_key;time_period;time_period_start;time_period_end;obs_value;updated_at;dataset_id;title_fr;title_long_fr;freq;adjustment;ref_area;counterpart_area;ref_sector;counterpart_sector;flow_stock_entry;accounting_entry;int_acc_item;functional_cat;instr_asset;maturity;unit_measure;currency_denom;valuation;comp_method;type_entity;unit;decimals;unit_mult;time_format;source_agency;time_per_collect;obs_status;obs_conf
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL;2024-Q3;2024-07-01;2024-09-30;3714,0;2025-03-21T05:12:22+00:00;BPM6;Compte financier - Investissements directs - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Investissements directs - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;D;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL;2021-Q4;2021-10-01;2021-12-31;9425,0;2024-12-02T09:40:32+00:00;BPM6;Compte financier - Investissements directs - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Investissements directs - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;D;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL;2024-Q4;2024-10-01;2024-12-31;-6084,0;2025-03-21T05:12:22+00:00;BPM6;Compte financier - Investissements directs - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Investissements directs - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;D;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL;2024-Q1;2024-01-01;2024-03-31;-2439,0;2024-12-02T09:40:32+00:00;BPM6;Compte financier - Investissements directs - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Investissements directs - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;D;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL;2023-Q4;2023-10-01;2023-12-31;-12170,0;2024-12-02T09:40:32+00:00;BPM6;Compte financier - Investissements directs - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Investissements directs - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;D;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL;2024-Q2;2024-04-01;2024-06-30;-5347,0;2024-12-17T17:10:58+00:00;BPM6;Compte financier - Investissements directs - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Investissements directs - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;D;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL;2023-Q3;2023-07-01;2023-09-30;6760,0;2024-12-02T09:40:32+00:00;BPM6;Compte financier - Investissements directs - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Investissements directs - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;D;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL;2023-Q2;2023-04-01;2023-06-30;7052,0;2024-12-02T09:40:32+00:00;BPM6;Compte financier - Investissements directs - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Investissements directs - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;D;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL;2023-Q1;2023-01-01;2023-03-31;8697,0;2024-12-02T09:40:32+00:00;BPM6;Compte financier - Investissements directs - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Investissements directs - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;D;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL;2022-Q4;2022-10-01;2022-12-31;-20100,0;2024-12-02T09:40:32+00:00;BPM6;Compte financier - Investissements directs - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Investissements directs - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;D;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
BPM6.Q.N.FR.I9.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL;2022-Q3;2022-07-01;2022-09-30;-3870,0;2024-12-02T09:40:32+00:00;BPM6;Compte financier - Investissements directs - Ensemble de l'économie - Net - France vis-à-vis Zone Euro - Brut;Compte financier - Investissements directs - Ensemble de l'économie - Net - Flux - France vis-à-vis Zone Euro - Trimestriel - Brut;Q;N;FR;I9;S1;S1;T;N;FA;D;F;_Z;EUR;_T;_X;N;ALL;EUR;0;6;P3M;FR2;S;A;F
